setting,target,control,predictor,rho,p,ci_lo,ci_hi,n,k_controls,controls,n_boot,n_boot_valid,p_holm,q_bh
gemma_2_2b,kl_mean,none,act_std,0.30056467294081046,1.1118656989223258e-07,0.1804748110413021,0.4113957942956687,300,0,,10000,10000,1.4454254085990236e-06,3.0179211827891706e-07
gemma_2_2b,kl_mean,none,act_max,0.2917334637051523,2.6864778326201664e-07,0.1754620101325515,0.39884487237382094,300,0,,10000,10000,3.2237733991442e-06,6.380384852472895e-07
gemma_2_2b,kl_mean,none,coact_entropy,0.004655607801820921,0.9359976306489783,-0.1145324198206766,0.1236429831165866,300,0,,10000,10000,1.0,0.9492179059882805
gemma_2_2b,kl_mean,none,coact_count,-0.01400750297976532,0.8090776645348191,-0.13173086745177207,0.10719922491006027,300,0,,10000,10000,1.0,0.9042632721271507
gemma_2_2b,kl_mean,none,logit_l2,0.3358823986933188,2.407274428889902e-09,0.22585203171592141,0.4391437011780166,300,0,,10000,10000,3.610911643334853e-08,9.147642829781628e-09
gemma_2_2b,kl_mean,none,logit_linf,0.2643384926499183,3.447236385510839e-06,0.14644284347074144,0.3758420749874196,300,0,,10000,10000,3.791960024061923e-05,7.277499036078439e-06
gemma_2_2b,kl_mean,none,logit_entropy,-0.2527404480295859,9.359207861602066e-06,-0.3581375497604531,-0.14239657855414956,300,0,,10000,10000,9.359207861602066e-05,1.7782494937043925e-05
gemma_2_2b,kl_mean,none,logit_top10_mass,0.12875031944799387,0.025747410589332415,0.011295966650692327,0.2430545292796754,300,0,,10000,10000,0.20597928471465932,0.04076673343310966
gemma_2_2b,kl_mean,primary,crowding,0.09700517300955727,0.09518782910999532,-0.03302723302978153,0.2194552267880534,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.285563487329986
gemma_2_2b,kl_mean,primary,crowd_max,0.01303016448819136,0.823052736239777,-0.10817890497901123,0.1363876634314014,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.9259343282697492
gemma_2_2b,kl_mean,primary,dec_norm,-0.04798336747385116,0.40998616676128796,-0.16569136827246572,0.06921062245050694,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.7521488365729827
gemma_2_2b,kl_mean,primary,enc_norm,0.1173642217912877,0.043271583185938975,-0.007662123849269915,0.24214288324960556,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.7356169141609625,0.28401129832422795
gemma_2_2b,kl_mean,primary,enc_dec_cos,-0.05737377126410922,0.3244256333807256,-0.17579393198728932,0.05911272438517154,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.7521488365729827
gemma_2_2b,kl_mean,primary,bin_entropy,,,,,300,3,"effect_l2,ctx_mean_act,frequency",10000,0,,
gemma_2_2b,kl_mean,primary,act_entropy,0.029569007024516203,0.6117723560341662,-0.07471918777379954,0.12900858427416131,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.7521488365729827
gemma_2_2b,kl_mean,primary,act_kurtosis,0.0035437934955106,0.9515063186577115,-0.0998661185431831,0.10455008416009981,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,1.0
gemma_2_2b,kl_mean,primary,act_mag,-0.03411133257537722,0.558174246324689,-0.14971277201309408,0.09286417465313786,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.7521488365729827
gemma_2_2b,kl_mean,primary,act_mean_firing,0.028328820480788722,0.6267906971441523,-0.08011511637385679,0.13643132979632513,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.7521488365729827
gemma_2_2b,kl_mean,primary,act_std,-0.039695940940571675,0.4955606747831591,-0.15445691015554483,0.08346482502990551,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.7521488365729827
gemma_2_2b,kl_mean,primary,act_max,-0.029629343712291357,0.6110457513036363,-0.13292434620125398,0.07417038114982899,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.7521488365729827
gemma_2_2b,kl_mean,primary,coact_entropy,0.11518448650628327,0.04733521638737132,0.00010609658909495622,0.2295681354113009,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.7573634621979412,0.28401129832422795
gemma_2_2b,kl_mean,primary,coact_count,0.10166327530044686,0.08025998468927423,-0.01645965721672096,0.21585245478740958,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.285563487329986
gemma_2_2b,kl_mean,primary,logit_l2,0.05441700709836269,0.3500235067523065,-0.0828660147993438,0.18397625188373815,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.7521488365729827
gemma_2_2b,kl_mean,primary,logit_linf,0.033931735665420945,0.5602496205321151,-0.090896487315966,0.15530788217226013,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.7521488365729827
gemma_2_2b,kl_mean,primary,logit_entropy,-0.23434664542957753,4.531480352045864e-05,-0.334970159439409,-0.12388316309639026,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.0008156664633682555,0.0008156664633682555
gemma_2_2b,kl_mean,primary,logit_top10_mass,0.1033274863399283,0.07540937946558086,-0.007364140836364841,0.2093349239527453,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.285563487329986
gemma_2_2b,kl_mean,robust,crowding,0.4034474074347778,4.305100991263743e-13,0.2950847324693015,0.50221348023161,300,2,"frequency,ctx_mean_act",10000,10000,7.318671685148362e-12,3.874590892137369e-12
